Movie_Name,Rating,year,Bechdel_test,The_Mako_Mori_Test
,,,,
Raazi,7.7/10,2018,Yes,Yes
,,,,
Jawan,7.0/10,2023,Yes,No
,,,,
Dream Girl 2,5.2/10,2023,yes,No
,,,,
Satyaprem Ki Katha,6.7/10,2023,Yes,No
,,,,
Zara Hatke Zara Bachke,6.0/10,2023,Yes,No
,,,,
Bholaa,5.8/10,2023,No,No
,,,,
Kuttey,5.5/10,2023,No,No
,,,,
Gumraah,6.5/10,2023,No,No
,,,,
Mrs. Chatterjee vs. Norway,7.3/10,2023,Yes,Yes
,,,,
Shehzada,4.5/10,2023,No,No
,,,,
3 Idiots,8.4/10,2009,Yes,No
,,,,
PK,8.1/10,2014,Yes,No
,,,,
Dangal,8.3/10,2016,Yes,Yes
,,,,
Lagaan: Once Upon a Time in India,8.1/10,2001,Yes,No
,,,,
Kuch Kuch Hota Hai,7.5/10,1998,Yes,Yes
,,,,
Kabhi Khushi Kabhie Gham...,7.4/10,2001,Yes,No
,,,,
Queen,8.1/10,2013,Yes,Yes
,,,,
Bãhubali: The Beginning,8.0/10,2015,Yes,No
,,,,
Bãhubali 2: The Conclusion,8.2/10,2017,Yes,No
,,,,
Gully Boy,7.9/10,2019,Yes,No
,,,,
Bajrangi Bhaijaan,8.1/10,2015,Yes,No
,,,,
Padmaavat,7.1/10,2018,Yes,No
,,,,
Barfi!,8.1/10,2012,Yes,No
,,,,
Chak De! India,8.1/10,2007,Yes,No
,,,,
Dil Chahta Hai,8.1/10,2001,No,No
,,,,
Jab We Met,7.9/10,2007,Yes,Yes
,,,,
Zindagi Na Milegi Dobara,8.2/10,2011,Yes,No
,,,,
Dear Zindagi,7.4/10,2016,Yes,Yes
,,,,
Taare Zameen Par,8.3/10,2007,No,No
,,,,
"Swades: We, the People",8.2/10,2004,Yes,No
,,,,
Devdas,7.5/10,2002,Yes,No
,,,,
Piku,7.6/10,2015,Yes,Yes
,,,,
Neerja,7.6/10,2016,Yes,Yes
,,,,
Airlift,7.9/10,2016,Yes,No
,,,,
Andhadhun,8.2/10,2018,Yes,No
,,,,
Article 15,8.1/10,2019,No,No
,,,,
Masaan,8.1/10,2015,Yes,No
,,,,
The Lunchbox,7.8/10,2013,Yes,Yes
,,,,
Badhaai Ho,7.9/10,2018,Yes,No
,,,,
Stree,7.5/10,2018,Yes,No
,,,,
Raazi,7.7/10,2018,Yes,Yes
,,,,
Tumhari Sulu,7.0/10,2017,Yes,Yes
,,,,
Pink,8.1/10,2016,Yes,Yes
,,,,
Secret Superstar,7.8/10,2017,Yes,Yes
,,,,
English Vinglish,7.8/10,2012,Yes,Yes
,,,,
Tanu Weds Manu,6.8/10,2011,Yes,No
,,,,
Highway,7.6/10,2014,Yes,Yes
,,,,
Hera Pheri,8.2/10,2000,No,No
,,,,
Munna Bhai M.B.B.S.,8.1/10,2003,Yes,No
,,,,
Don 2,7.1/10,2011,Yes,No
,,,,
Rang De Basanti,8.1/10,2006,Yes,No
,,,,
Kahaani,8.1/10,2012,Yes,Yes
,,,,
Raanjhanaa,7.6/10,2013,No,No
,,,,
Bajirao Mastani,7.3/10,2015,Yes,No
,,,,
Veer Zara,7.8/10,2004,Yes,No
,,,,
Yeh Jawaani Hai Deewani,7.2/10,2013,Yes,No
,,,,
Badla,7.8/10,2019,No,Yes
,,,,
Shubh Mangal Saavdhan,6.9/10,2017,No,No
,,,,
Newton,7.6/10,2017,No,No
,,,,
Ek Tha Tiger,5.6/10,2012,No,No
,,,,
Sonchiriya,7.9/10,2019,No,No
,,,,
Dilwale,5.1/10,2015,No,No
,,,,
War,6.5/10,2019,No,No
,,,,
Uri: The Surgical Strike,8.2/10,2019,No,No
,,,,
Tumbbad,8.2/10,2018,No,No
,,,,
Zero,5.2/10,2018,No,No
,,,,
Badrinath Ki Dulhania,6.1/10,2017,No,No
